name,avg_high_price,avg_spread_pct,win_rate,avg_roi,sharpe_ratio,final_score
Adamant dart,71.55191256830601,5.682001614205011,94.80874316939891,4.545579829990966,1.257496917088963,0.6810662664763699
Adamant arrow,74.68579234972678,4.105571847507341,97.54098360655738,3.1483037341876074,1.4688755007712913,0.597509331540319
Climbing boots,653.8497267759562,14.75558411416623,93.16939890710383,14.113889493229976,1.2626776927049286,0.5904206687355108
Divine ranging potion(1),1509.7845303867402,14.03794751960999,95.08196721311475,13.508656025725012,1.3356736034291368,0.5880591254457037
Anti-venom+(1),3003.4836065573772,12.578152603038543,98.36065573770492,11.89880986486896,1.646144580785848,0.5851595191665221
Cotton seed,4296.817647058823,14.692427338814715,94.44444444444444,14.99726754272616,0.8682763124919283,0.5845509053462399
Curry,394.2,13.77161647465164,93.44262295081968,13.154247395438675,1.258243457892346,0.5742094684332623
Curry leaf,56.961643835616435,12.260845640168087,91.2568306010929,15.959427867342946,0.8450257243133912,0.5676098847646326
Hemp seed,12084.181818181818,11.932483432533395,94.44444444444444,11.154994210427564,1.0603649106108646,0.5345287927902146
Avantoe seed,645.3972602739726,12.918527690136761,88.25136612021858,12.357882255688464,0.9829355770584794,0.5316297661389634
Willow longbow (u),84.07988980716253,11.090717553234482,96.44808743169399,10.19609042321707,1.0494208273903376,0.5313014878296333
Divine ranging potion(3),4446.91643454039,11.497044347624144,93.98907103825137,10.42358401151911,1.001313542351049,0.5191814928904734
Atlatl dart,168.65205479452055,4.160665622913079,97.81420765027322,3.3737560746689508,1.5567799954094026,0.5134029393310994
Snowy knight (item),1865.6629834254143,10.675896554056733,91.53005464480874,10.526294806682097,1.1107386145282256,0.511888397177846
Divine super combat potion(1),5407.159779614325,7.181664777720463,98.36065573770492,6.101047979039407,2.1470266740908563,0.5102841616880749
Frozen tear,224.87671232876713,8.45857827837647,96.72131147540983,7.82347293155054,1.3715098779363544,0.5040675820220831
Smoke rune,92.27671232876712,5.252046597883217,96.99453551912568,4.213461829351408,1.1849562318969005,0.49694944600619356
Cadantine seed,2351.964480874317,9.061757644480203,94.26229508196722,9.380544015710269,1.0709624571812326,0.4948773788778503
Blighted teleport spell sack,64.64480874316939,8.457483382993338,95.90163934426229,7.34674873297036,1.1486286033789284,0.49011591150019224
Blighted karambwan,87.71311475409836,5.591553465118566,98.36065573770492,4.494039663598427,1.4624405874135853,0.48969495861669055
Black d'hide vambraces,2477.292349726776,11.09029580738397,87.97814207650273,9.764320098945623,0.8644209052567866,0.4851869943728365
Lunar isle teleport,3219.6775956284155,8.591064658755188,97.81420765027322,7.29674599963252,1.1106180075689607,0.4829470533545631
Wild pie,633.568306010929,9.924626688788813,92.89617486338798,8.698553475936013,0.9023339894730397,0.482627524871196
Blighted manta ray,180.9016393442623,4.351526422796258,96.44808743169399,3.4405590872452474,1.819736899646053,0.4811656164063764
Salmon,58.42032967032967,7.8746816978995025,94.80874316939891,7.337226527510104,1.1633812443340037,0.4780969925983481
Soiled page,1110.3846153846155,5.80598001321771,97.54098360655738,4.779117088405392,1.9245606831423936,0.4779679746042382
Dragon dagger(p++),22453.638356164385,5.643941415995723,98.08743169398907,4.577590538453172,1.9937282438446342,0.4753610325037959
